,timestamp,humidity,co2,temperature,sensor_r,sensor_l,thermal,day_of_week,day,month
167,2018-10-14T17:45:00.000000Z,48.6557,425,20.4867,0,0,-87.1,6,14,10
168,2018-10-14T18:00:00.000000Z,48.6539,421,20.4872,0,0,24.90000000000002,6,14,10
169,2018-10-14T18:15:00.000000Z,,,,0,0,60.499999999999915,6,14,10
170,2018-10-14T18:30:00.000000Z,48.6546,427,20.4872,0,0,1.4000000000000767,6,14,10
171,2018-10-14T18:45:00.000000Z,48.65600000000001,425,20.487,0,0,58.60000000000011,6,14,10
172,2018-10-14T19:00:00.000000Z,48.6559,422,20.4869,0,0,38.20000000000001,6,14,10
173,2018-10-14T19:15:00.000000Z,48.6564,429,20.4871,0,0,58.20000000000006,6,14,10
174,2018-10-14T19:30:00.000000Z,48.6566,428,20.4873,0,0,-51.10000000000003,6,14,10
175,2018-10-14T19:45:00.000000Z,48.6573,426,20.4873,0,0,-68.20000000000005,6,14,10
176,2018-10-14T20:00:00.000000Z,48.6576,427,20.4872,0,0,26.500000000000053,6,14,10
177,2018-10-14T20:15:00.000000Z,,,,0,0,33.20000000000002,6,14,10
178,2018-10-14T20:30:00.000000Z,48.6572,434,20.4872,0,0,3.500000000000014,6,14,10
179,2018-10-14T20:45:00.000000Z,48.6569,421,20.4873,0,0,31.39999999999999,6,14,10
180,2018-10-14T21:00:00.000000Z,48.6572,432,20.4869,0,0,5.300000000000054,6,14,10
181,2018-10-14T21:15:00.000000Z,48.65600000000001,425,20.4873,0,0,-13.800000000000065,6,14,10
182,2018-10-14T21:30:00.000000Z,48.6565,421,20.4873,0,0,-124.10000000000002,6,14,10
183,2018-10-14T21:45:00.000000Z,48.6562,420,20.4873,0,0,-4.000000000000057,6,14,10
184,2018-10-14T22:00:00.000000Z,,,,0,0,48.5,6,14,10
185,2018-10-14T22:15:00.000000Z,,,,0,0,-25.399999999999977,6,14,10
186,2018-10-14T22:30:00.000000Z,48.6548,421,20.4873,0,0,27.800000000000004,6,14,10
187,2018-10-14T22:45:00.000000Z,48.6554,417,20.487,0,0,50.000000000000085,6,14,10
188,2018-10-14T23:00:00.000000Z,48.6546,421,20.487,0,0,-33.30000000000001,6,14,10
189,2018-10-14T23:15:00.000000Z,48.6545,424,20.4871,0,0,84.59999999999997,6,14,10
190,2018-10-14T23:30:00.000000Z,48.6536,420,20.4872,0,0,40.29999999999997,6,14,10
191,2018-10-14T23:45:00.000000Z,48.6521,417,20.4874,0,0,50.50000000000006,6,14,10
192,2018-10-15T00:00:00.000000Z,48.6527,414,20.4874,0,0,-1.4999999999999822,0,15,10
193,2018-10-15T00:15:00.000000Z,48.6527,415,20.4873,0,0,42.09999999999996,0,15,10
194,2018-10-15T00:30:00.000000Z,48.6522,421,20.4871,0,0,-7616.599999999998,0,15,10
195,2018-10-15T00:45:00.000000Z,,,,0,0,11.900000000000038,0,15,10
196,2018-10-15T01:00:00.000000Z,48.6504,421,20.4874,0,0,56.89999999999996,0,15,10
197,2018-10-15T01:15:00.000000Z,48.651,414,20.4873,0,0,116.29999999999993,0,15,10
198,2018-10-15T01:30:00.000000Z,48.6503,423,20.4875,0,0,74.29999999999997,0,15,10
199,2018-10-15T01:45:00.000000Z,,,,0,0,38.500000000000014,0,15,10
200,2018-10-15T02:00:00.000000Z,,,,0,0,-44.400000000000055,0,15,10
201,2018-10-15T02:15:00.000000Z,48.645,414,20.4858,0,0,-16.99999999999999,0,15,10
202,2018-10-15T02:30:00.000000Z,48.6428,412,20.4858,0,0,16.100000000000012,0,15,10
203,2018-10-15T02:45:00.000000Z,,,,0,0,26.800000000000043,0,15,10
204,2018-10-15T03:00:00.000000Z,46.1001,414,20.4865,0,0,-7.600000000000065,0,15,10
205,2018-10-15T03:15:00.000000Z,46.1001,414,20.4865,0,0,-58.800000000000054,0,15,10
206,2018-10-15T03:30:00.000000Z,,,,0,0,-54.00000000000006,0,15,10
207,2018-10-15T03:45:00.000000Z,46.0952,417,20.4863,0,0,-53.19999999999999,0,15,10
208,2018-10-15T04:00:00.000000Z,,,,0,0,-89.40000000000003,0,15,10
209,2018-10-15T04:15:00.000000Z,,,,0,2,58.7999999999999,0,15,10
210,2018-10-15T04:30:00.000000Z,,,,0,15,-68.79999999999994,0,15,10
211,2018-10-15T04:45:00.000000Z,,,,0,15,10.100000000000001,0,15,10
212,2018-10-15T05:00:00.000000Z,,,,0,15,-46.400000000000006,0,15,10
213,2018-10-15T05:15:00.000000Z,,,,0,9,6.7999999999999545,0,15,10
214,2018-10-15T05:30:00.000000Z,,,,0,12,-15.600000000000069,0,15,10
215,2018-10-15T05:45:00.000000Z,,,,0,15,93.50000000000009,0,15,10
216,2018-10-15T06:00:00.000000Z,,,,0,15,42.89999999999996,0,15,10
217,2018-10-15T06:15:00.000000Z,,,,0,15,-131.99999999999994,0,15,10
218,2018-10-15T06:30:00.000000Z,,,,0,15,-47.79999999999998,0,15,10
219,2018-10-15T06:45:00.000000Z,,,,0,3,22.399999999999952,0,15,10
220,2018-10-15T07:00:00.000000Z,,,,0,3,17.499999999999993,0,15,10
221,2018-10-15T07:15:00.000000Z,,,,0,4,71.99999999999994,0,15,10
222,2018-10-15T07:30:00.000000Z,,,,0,14,107.49999999999993,0,15,10
223,2018-10-15T07:45:00.000000Z,,,,0,15,-23.199999999999964,0,15,10
224,2018-10-15T08:00:00.000000Z,,,,0,15,2.999999999999954,0,15,10
225,2018-10-15T08:15:00.000000Z,,,,11,15,-104.50000000000006,0,15,10
226,2018-10-15T08:30:00.000000Z,,,,15,15,-17.500000000000032,0,15,10
227,2018-10-15T08:45:00.000000Z,,,,15,15,69.2999999999999,0,15,10
228,2018-10-15T09:00:00.000000Z,,,,14,9,-110.20000000000003,0,15,10
229,2018-10-15T09:15:00.000000Z,,,,0,1,5.200000000000021,0,15,10
230,2018-10-15T09:30:00.000000Z,,,,0,15,413.3999999999998,0,15,10
231,2018-10-15T09:45:00.000000Z,,,,0,15,-25.199999999999964,0,15,10
232,2018-10-15T10:00:00.000000Z,,,,0,15,-69.9000000000001,0,15,10
233,2018-10-15T10:15:00.000000Z,,,,0,13,-104.89999999999993,0,15,10
234,2018-10-15T10:30:00.000000Z,,,,0,15,5.299999999999933,0,15,10
235,2018-10-15T10:45:00.000000Z,,,,0,14,71.19999999999985,0,15,10
236,2018-10-15T11:00:00.000000Z,,,,0,13,-469.20000000000107,0,15,10
237,2018-10-15T11:15:00.000000Z,,,,0,15,70.80000000000001,0,15,10
238,2018-10-15T11:30:00.000000Z,,,,0,8,-75.60000000000005,0,15,10
239,2018-10-15T11:45:00.000000Z,,,,1,2,-31.89999999999991,0,15,10
240,2018-10-15T12:00:00.000000Z,,,,15,0,26.000000000000014,0,15,10
241,2018-10-15T12:15:00.000000Z,,,,15,0,39.000000000000085,0,15,10
242,2018-10-15T12:30:00.000000Z,,,,15,0,-13.899999999999991,0,15,10
243,2018-10-15T12:45:00.000000Z,,,,15,0,-44.1,0,15,10
244,2018-10-15T13:00:00.000000Z,,,,15,4,-49.60000000000001,0,15,10
245,2018-10-15T13:15:00.000000Z,,,,15,0,-164.0,0,15,10
246,2018-10-15T13:30:00.000000Z,,,,15,0,22.199999999999996,0,15,10
247,2018-10-15T13:45:00.000000Z,,,,15,0,46.70000000000002,0,15,10
248,2018-10-15T14:00:00.000000Z,,,,14,0,-1.79999999999999,0,15,10
249,2018-10-15T14:15:00.000000Z,,,,0,0,20.199999999999996,0,15,10
250,2018-10-15T14:30:00.000000Z,,,,2,0,-13.000000000000007,0,15,10
251,2018-10-15T14:45:00.000000Z,,,,0,0,73.40000000000006,0,15,10
252,2018-10-15T15:00:00.000000Z,,,,0,0,38.999999999999915,0,15,10
253,2018-10-15T15:15:00.000000Z,,,,0,0,-26.999999999999996,0,15,10
254,2018-10-15T15:30:00.000000Z,,,,0,0,-40.30000000000005,0,15,10
255,2018-10-15T15:45:00.000000Z,,,,0,0,44.100000000000016,0,15,10
256,2018-10-15T16:00:00.000000Z,43.5441,427,20.4923,0,0,-27.600000000000033,0,15,10
257,2018-10-15T16:15:00.000000Z,43.5424,420,20.492,0,0,-48.00000000000007,0,15,10
258,2018-10-15T16:30:00.000000Z,43.5424,420,20.492,0,0,1.8999999999999737,0,15,10
259,2018-10-15T16:45:00.000000Z,43.542,421,20.4913,0,0,54.499999999999964,0,15,10
260,2018-10-15T17:00:00.000000Z,43.5424,417,20.491,0,0,-66.59999999999997,0,15,10
261,2018-10-15T17:15:00.000000Z,43.5428,426,20.4908,0,0,-10.199999999999996,0,15,10
262,2018-10-15T17:30:00.000000Z,43.5439,410,20.4904,0,0,26.800000000000004,0,15,10
263,2018-10-15T17:45:00.000000Z,43.544,427,20.4904,0,0,-5.000000000000021,0,15,10
264,2018-10-15T18:00:00.000000Z,43.5451,424,20.49,0,0,-31.200000000000017,0,15,10
265,2018-10-15T18:15:00.000000Z,43.5447,419,20.49,0,0,18.200000000000045,0,15,10
266,2018-10-15T18:30:00.000000Z,46.08,414,20.4901,0,0,-80.10000000000007,0,15,10
267,2018-10-15T18:45:00.000000Z,46.0846,416,20.4898,0,0,10.300000000000026,0,15,10
268,2018-10-15T19:00:00.000000Z,46.0851,413,20.4898,0,0,95.60000000000005,0,15,10
269,2018-10-15T19:15:00.000000Z,46.0845,417,20.4899,0,0,28.30000000000008,0,15,10
270,2018-10-15T19:30:00.000000Z,46.0842,420,20.4898,0,0,118.80000000000001,0,15,10
271,2018-10-15T19:45:00.000000Z,46.0851,417,20.4896,0,0,28.80000000000002,0,15,10
272,2018-10-15T20:00:00.000000Z,46.0845,421,20.4897,0,0,60.199999999999925,0,15,10
273,2018-10-15T20:15:00.000000Z,46.0844,413,20.4898,0,0,-21.09999999999999,0,15,10
274,2018-10-15T20:30:00.000000Z,46.0846,417,20.4898,0,0,34.29999999999998,0,15,10
275,2018-10-15T20:45:00.000000Z,46.0843,414,20.49,0,0,33.299999999999905,0,15,10
276,2018-10-15T21:00:00.000000Z,46.0842,415,20.4901,0,0,142.09999999999974,0,15,10
277,2018-10-15T21:15:00.000000Z,46.0829,418,20.4902,0,0,24.699999999999964,0,15,10
278,2018-10-15T21:30:00.000000Z,46.0833,415,20.4904,0,0,6.70000000000001,0,15,10
