;co2;humidity;temperature;timestamp;month;day;time
8943;426;35.8516;20.4854;4;11;16;21:25:59
8944;431;35.8516;20.4854;4;11;16;21:28:11
8945;428;35852;20.4854;4;11;16;21:30:25
8946;432;35852;20.4854;4;11;16;21:32:34
8947;432;35852;20.4854;4;11;16;21:32:34
8948;429;35.8521;20.4853;4;11;16;21:33:49
8949;433;35.8518;20.4854;4;11;16;21:34:58
8950;426;35.8518;20.4854;4;11;16;21:36:34
8951;420;35.8518;20.4853;4;11;16;21:38:11
8952;431;35.8522;20.4855;4;11;16;21:39:29
8953;431;35852;20.4854;4;11;16;21:40:35
8954;424;35.8524;20.4853;4;11;16;21:45:53
8955;430;35.8521;20.4853;4;11;16;21:47:20
8956;423;35.8524;20.4852;4;11;16;21:49:37
8957;426;35.8522;20.4852;4;11;16;21:51:00
8958;429;35.8521;20.4853;4;11;16;21:52:40
8959;429;35.8521;20.4853;4;11;16;21:52:40
8960;424;35.8522;20.4853;4;11;16;21:54:31
8961;422;35.8521;20.4852;4;11;16;21:55:55
8962;426;35.8527;20485;4;11;16;22:00:01
8963;423;35.8532;20485;4;11;16;22:01:41
8964;428;35.8529;20.4849;4;11;16;22:04:29
8965;435;35.8532;20.4849;4;11;16;22:06:04
8966;433;35.8533;20.4849;4;11;16;22:08:03
8967;426;35.8534;20485;4;11;16;22:09:23
8968;430;35.8531;20.4849;4;11;16;22:10:40
8969;429;35.8534;20.4848;4;11;16;22:12:55
8970;421;35.8531;20.4849;4;11;16;22:14:59
8971;429;35853;20.4849;4;11;16;22:17:00
8972;432;35.8535;20.4848;4;11;16;22:18:05
8973;432;35.8535;20.4848;4;11;16;22:18:05
8974;432;35.8533;20.4849;4;11;16;22:19:06
8975;421;35.8538;20.4848;4;11;16;22:21:48
8976;427;35.8536;20.4847;4;11;16;22:26:44
8977;425;35.8538;20.4847;4;11;16;22:32:11
8978;433;35.8542;20.4847;4;11;16;22:33:44
8979;427;35.8539;20.4846;4;11;16;22:36:29
8980;433;35854;20.4846;4;11;16;22:38:15
8981;419;35854;20.4846;4;11;16;22:40:10
8982;425;35.8544;20.4846;4;11;16;22:42:20
8983;428;35.8545;20.4845;4;11;16;22:44:26
8984;429;35.8548;20.4845;4;11;16;22:45:45
8985;429;35.8548;20.4845;4;11;16;22:45:45
8986;431;35.8543;20.4846;4;11;16;22:46:55
8987;428;35.8545;20.4845;4;11;16;22:49:40
8988;424;35.8543;20.4845;4;11;16;22:54:20
8989;422;35.8541;20.4845;4;11;16;22:58:35
8990;424;35.8544;20.4846;4;11;16;23:00:01
8991;427;35.8545;20.4845;4;11;16;23:05:26
8992;427;35.8546;20.4844;4;11;16;23:08:36
8993;421;35.8547;20.4844;4;11;16;23:10:32
8994;430;35.8549;20.4844;4;11;16;23:13:40
8995;423;35.8546;20.4843;4;11;16;23:19:32
8996;423;35.8546;20.4843;4;11;16;23:19:32
8997;428;35.8545;20.4844;4;11;16;23:21:06
8998;431;35.8544;20.4844;4;11;16;23:23:30
8999;431;35.8544;20.4844;4;11;16;23:23:30
9000;426;35.8548;20.4843;4;11;16;23:24:47
9001;421;35.8545;20.4843;4;11;16;23:26:47
9002;429;35.8543;20.4842;4;11;16;23:29:26
9003;429;35.8543;20.4842;4;11;16;23:29:26
9004;426;35.8547;20.4844;4;11;16;23:31:27
9005;423;35855;20.4843;4;11;16;23:37:29
9006;423;35855;20.4843;4;11;16;23:37:29
9007;426;35.8545;20.4843;4;11;16;23:40:08
9008;426;35.8545;20.4843;4;11;16;23:40:08
9009;427;35.8548;20.4843;4;11;16;23:41:27
9010;421;35.8546;20.4842;4;11;16;23:42:36
9011;421;35.8546;20.4842;4;11;16;23:42:36
9012;430;35855;20.4843;4;11;16;23:45:56
9013;425;35.8546;20.4842;4;11;16;23:48:55
9014;427;35.8546;20.4842;4;11;16;23:51:42
9015;427;35.8549;20.4843;4;11;16;23:53:01
9016;429;35.8549;20.4843;4;11;16;23:57:01
9017;429;35.8548;20.4842;4;11;16;23:58:53
9018;434;35.8549;20.4843;5;11;17;00:00:32
9019;423;35.8548;20.4843;5;11;17;00:01:52
9020;426;35.8547;20.4844;5;11;17;00:03:58
9021;422;35.8551;20.4843;5;11;17;00:05:07
9022;426;35.8548;20.4844;5;11;17;00:07:28
9023;429;35.8549;20.4843;5;11;17;00:09:00
9024;422;35.8549;20.4843;5;11;17;00:11:20
9025;427;35.8551;20.4843;5;11;17;00:13:17
9026;430;35855;20.4843;5;11;17;00:17:42
9027;426;35855;20.4843;5;11;17;00:33:12
9028;432;35.8552;20.4843;5;11;17;00:36:13
9029;432;35.8552;20.4843;5;11;17;00:36:13
9030;418;35.8548;20.4843;5;11;17;00:37:31
9031;419;35855;20.4843;5;11;17;00:39:28
9032;419;35855;20.4843;5;11;17;00:39:28
9033;428;35.8553;20.4843;5;11;17;00:41:29
9034;428;35.8553;20.4843;5;11;17;00:41:29
9035;417;35.8553;20.4843;5;11;17;00:43:47
9036;417;35.8553;20.4843;5;11;17;00:43:47
9037;429;35855;20.4843;5;11;17;00:48:11
9038;422;35.8551;20.4844;5;11;17;00:57:15
9039;418;35.8551;20.4843;5;11;17;00:59:52
9040;421;35.8552;20.4843;5;11;17;01:01:52
9041;424;35.8551;20.4843;5;11;17;01:06:58
9042;422;35.8552;20.4842;5;11;17;01:10:43
9043;426;35.8555;20.4842;5;11;17;01:13:18
9044;424;35.8553;20.4843;5;11;17;01:15:11
9045;424;35.8553;20.4843;5;11;17;01:15:11
9046;424;35.8551;20.4843;5;11;17;01:16:54
9047;424;35.8551;20.4843;5;11;17;01:16:54
9048;419;35.8551;20.4843;5;11;17;01:20:27
9049;419;35.8551;20.4843;5;11;17;01:20:27
9050;429;35.8553;20.4842;5;11;17;01:24:48
9051;429;35.8553;20.4842;5;11;17;01:24:48
9052;423;35.8553;20.4842;5;11;17;01:31:13
9053;418;35.8555;20.4842;5;11;17;01:32:17
9054;419;35.8551;20.4842;5;11;17;01:33:37
9055;426;35.8555;20.4841;5;11;17;01:40:21
9056;426;35.8555;20.4841;5;11;17;01:40:21
9057;426;35.8555;20.4841;5;11;17;01:40:21
9058;419;35.8555;20.4841;5;11;17;01:52:23
9059;424;35.8557;20.4842;5;11;17;01:55:02
9060;422;35856;20484;5;11;17;01:56:28
9061;425;35.8556;20.4842;5;11;17;01:58:58
9062;419;35.8555;20.4842;5;11;17;02:03:58
9063;424;35.8557;20.4841;5;11;17;02:05:43
9064;423;35.8558;20484;5;11;17;02:07:44
9065;423;35.8558;20484;5;11;17;02:07:44
9066;426;35.8557;20.4842;5;11;17;02:12:01
9067;421;35856;20.4842;5;11;17;02:17:07
9068;424;35.8558;20484;5;11;17;02:18:53
9069;421;35.8563;20.4841;5;11;17;02:20:02
9070;421;35.8563;20.4841;5;11;17;02:20:02
9071;415;35.8559;20.4841;5;11;17;02:22:42
9072;420;35.8556;20.4841;5;11;17;02:24:03
9073;420;35.8558;20.4841;5;11;17;02:25:50
9074;422;35.8566;20484;5;11;17;02:28:17
9075;426;35856;20484;5;11;17;02:30:54
9076;414;35.8563;20484;5;11;17;02:34:35
9077;424;35.8563;20.4841;5;11;17;02:43:01
9078;423;35.8565;20484;5;11;17;02:52:29
9079;421;35.8568;20484;5;11;17;02:54:58
9080;419;35.8566;20484;5;11;17;02:56:37
9081;419;35.8566;20484;5;11;17;02:56:37
9082;420;35.8568;20484;5;11;17;02:58:43
9083;421;35.8565;20.4839;5;11;17;03:02:28
9084;416;35.8567;20484;5;11;17;03:07:15
9085;416;35.8566;20484;5;11;17;03:10:28
9086;422;35.8565;20.4839;5;11;17;03:11:28
9087;424;35.8566;20.4839;5;11;17;03:12:34
9088;423;35.8564;20.4839;5;11;17;03:15:44
9089;423;35.8564;20.4839;5;11;17;03:15:44
9090;423;35.8565;20484;5;11;17;03:17:05
9091;420;35.8571;20.4839;5;11;17;03:20:08
9092;422;35.8569;20.4839;5;11;17;03:21:49
9093;422;35.8569;20.4839;5;11;17;03:21:49
9094;421;35.8569;20.4839;5;11;17;03:27:15
9095;417;35.8566;20.4839;5;11;17;03:28:45
9096;415;35857;20.4839;5;11;17;03:30:04
9097;414;35.8568;20.4839;5;11;17;03:31:15
9098;414;35.8568;20.4839;5;11;17;03:31:15
9099;416;35.8567;20.4839;5;11;17;03:33:13
9100;420;35.8568;20.4839;5;11;17;03:34:35
9101;424;35.8566;20.4838;5;11;17;03:35:43
9102;419;35.8565;20484;5;11;17;03:39:20
9103;417;35857;20.4838;5;11;17;03:40:56
9104;417;35857;20.4838;5;11;17;03:40:56
9105;424;35.8571;20.4839;5;11;17;03:44:24
9106;421;35.8568;20.4838;5;11;17;03:56:00
9107;422;35.8567;20.4838;5;11;17;03:58:43
9108;418;35.8568;20.4839;5;11;17;04:00:01
9109;415;35.8568;20.4838;5;11;17;04:01:20
9110;422;35.8567;20.4838;5;11;17;04:02:20
9111;419;35857;20.4839;5;11;17;04:03:20
9112;417;35.8565;20.4838;5;11;17;04:04:20
9113;423;35.8569;20.4838;5;11;17;04:05:20
9114;423;35.8569;20.4838;5;11;17;04:05:20
9115;422;35.8566;20.4839;5;11;17;04:06:20
9116;423;35.8566;20.4838;5;11;17;04:07:20
9117;416;35.8568;20.4838;5;11;17;04:08:20
