;timestamp;sensor_r;sensor_l
451;2018-10-16 16:45:00;0;0
452;2018-10-16 17:00:00;0;0
453;2018-10-16 17:15:00;0;0
454;2018-10-16 17:30:00;0;0
455;2018-10-16 17:45:00;0;0
456;2018-10-16 18:00:00;0;0
457;2018-10-16 18:15:00;0;0
458;2018-10-16 18:30:00;0;0
459;2018-10-16 18:45:00;0;0
460;2018-10-16 19:00:00;0;0
461;2018-10-16 19:15:00;0;0
462;2018-10-16 19:30:00;0;0
463;2018-10-16 19:45:00;0;0
464;2018-10-16 20:00:00;0;0
465;2018-10-16 20:15:00;0;0
466;2018-10-16 20:30:00;0;0
467;2018-10-16 20:45:00;0;0
468;2018-10-16 21:00:00;0;0
469;2018-10-16 21:15:00;0;0
470;2018-10-16 21:30:00;0;0
471;2018-10-16 21:45:00;0;0
472;2018-10-16 22:00:00;0;0
473;2018-10-16 22:15:00;0;0
474;2018-10-16 22:30:00;0;0
475;2018-10-16 22:45:00;0;0
476;2018-10-16 23:00:00;0;0
477;2018-10-16 23:15:00;0;0
478;2018-10-16 23:30:00;0;0
479;2018-10-16 23:45:00;0;0
480;2018-10-17 00:00:00;0;0
481;2018-10-17 00:15:00;0;0
482;2018-10-17 00:30:00;0;0
483;2018-10-17 00:45:00;0;0
484;2018-10-17 01:00:00;0;0
485;2018-10-17 01:15:00;0;0
486;2018-10-17 01:30:00;0;0
487;2018-10-17 01:45:00;0;0
488;2018-10-17 02:00:00;0;0
489;2018-10-17 02:15:00;0;0
490;2018-10-17 02:30:00;0;0
491;2018-10-17 02:45:00;0;0
492;2018-10-17 03:00:00;0;0
493;2018-10-17 03:15:00;0;0
494;2018-10-17 03:30:00;0;0
495;2018-10-17 03:45:00;0;0
496;2018-10-17 04:00:00;0;0
497;2018-10-17 04:15:00;0;0
498;2018-10-17 04:30:00;0;0
499;2018-10-17 04:45:00;0;0
500;2018-10-17 05:00:00;0;0
501;2018-10-17 05:15:00;0;0
502;2018-10-17 05:30:00;0;0
503;2018-10-17 05:45:00;0;0
504;2018-10-17 06:00:00;0;2
505;2018-10-17 06:15:00;0;0
506;2018-10-17 06:30:00;0;0
507;2018-10-17 06:45:00;0;0
508;2018-10-17 07:00:00;0;0
509;2018-10-17 07:15:00;0;0
510;2018-10-17 07:30:00;0;0
511;2018-10-17 07:45:00;0;0
512;2018-10-17 08:00:00;0;0
513;2018-10-17 08:15:00;0;0
514;2018-10-17 08:30:00;0;0
